Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
keycloak-config-cli,(default package),MavenWrapperDownloader,main,46,5,1,48,0,,
keycloak-config-cli,(default package),MavenWrapperDownloader,downloadFileFromURL,19,2,2,97,0,,
keycloak-config-cli,(default package),MavenWrapperDownloader,getPasswordAuthentication,3,1,0,102,0,,
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getId,3,1,0,202,0,,
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setId,3,1,1,206,0,,
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getRealm,3,1,0,210,0,,
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setRealm,3,1,1,214,0,,
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getDisplayName,3,1,0,218,0,,
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setDisplayName,3,1,1,222,0,,
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getDisplayNameHtml,3,1,0,226,0,,
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setDisplayNameHtml,3,1,1,230,0,,
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getUsers,3,1,0,234,0,,
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getApplications,3,1,0,238,0,,
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setUsers,3,1,1,242,0,,
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,user,7,2,1,246,0,,
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getClients,3,1,0,254,0,,
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setClients,3,1,1,258,0,,
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,isEnabled,3,1,0,262,0,,
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setEnabled,3,1,1,266,0,,
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getSslRequired,3,1,0,270,0,,
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setSslRequired,3,1,1,274,0,,
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getDefaultSignatureAlgorithm,3,1,0,278,0,,
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setDefaultSignatureAlgorithm,3,1,1,282,0,,
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getRevokeRefreshToken,3,1,0,286,0,,
