Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
keycloak-config-cli,de.adorsys.keycloak.config.properties,ImportConfigPropertiesTest,shouldPopulateConfigurationProperties,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 31
keycloak-config-cli,de.adorsys.keycloak.config.properties,KeycloakConfigPropertiesTest,shouldPopulateConfigurationProperties,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadLocalFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadLocalFileLegacy,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadLocalFilesFromDirectorySorted,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadLocalFilesFromDirectorySortedWithoutHiddenFilesWithRegex,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadLocalFilesFromWildcardPattern,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadLocalFilesFromWildcardPatternWithDirectoryTraversal,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadLocalFilesFromRegexPattern,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadLocalFilesFromDoubleWildcardPattern,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadLocalFilesFromDoubleWildcardPatternWithoutPrependingSlash,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadLocalFilesFromManyDirectories,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadLocalFilesFromZipArchive,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadLocalFilesFromZipArchiveWithRegex,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldFailOnDirectory,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldFailOnUnknownPath,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldFailOnInvalidClassPath,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldFailOnInvalidFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadRemoteFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadRemoteFilesFromZipArchive,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadRemoteFileUsingBasicAuth,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadRemoteFileAndIgnoreIncompleteBasicAuth,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keycloak-config-cli,de.adorsys.keycloak.config.service,AuthorizeImportUsingServiceAccountIT,createServiceAccountInMasterRealm,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
keycloak-config-cli,de.adorsys.keycloak.config.service,ImportAuthenticationFlowsIT,shouldCreateRealmWithFlows,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
keycloak-config-cli,de.adorsys.keycloak.config.service,ImportAuthenticationFlowsIT,shouldAddExecutionToFlow,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 17
keycloak-config-cli,de.adorsys.keycloak.config.service,ImportAuthenticationFlowsIT,shouldChangeExecutionRequirement,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 17
keycloak-config-cli,de.adorsys.keycloak.config.service,ImportAuthenticationFlowsIT,shouldChangeExecutionPriorities,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 17
keycloak-config-cli,de.adorsys.keycloak.config.service,ImportAuthenticationFlowsIT,shouldAddFlowWithExecutionFlow,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 23
keycloak-config-cli,de.adorsys.keycloak.config.service,ImportAuthenticationFlowsIT,shouldFailWhenTryAddFlowWithDefectiveExecutionFlow,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keycloak-config-cli,de.adorsys.keycloak.config.service,ImportAuthenticationFlowsIT,shouldChangeFlowRequirementWithExecutionFlow,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 23
keycloak-config-cli,de.adorsys.keycloak.config.service,ImportAuthenticationFlowsIT,shouldFailWhenTryToUpdateDefectiveFlowRequirementWithExecutionFlow,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keycloak-config-cli,de.adorsys.keycloak.config.service,ImportAuthenticationFlowsIT,shouldFailWhenTryToUpdateFlowRequirementWithExecutionFlowWithNotExistingExecution,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keycloak-config-cli,de.adorsys.keycloak.config.service,ImportAuthenticationFlowsIT,shouldFailWhenTryToUpdateFlowRequirementWithExecutionFlowWithDefectiveExecution,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keycloak-config-cli,de.adorsys.keycloak.config.service,ImportAuthenticationFlowsIT,shouldFailWhenTryToUpdateFlowRequirementWithDefectiveExecutionFlow,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keycloak-config-cli,de.adorsys.keycloak.config.service,ImportAuthenticationFlowsIT,shouldChangeFlowPriorityWithExecutionFlow,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 23
keycloak-config-cli,de.adorsys.keycloak.config.service,ImportAuthenticationFlowsIT,shouldSetRegistrationFlow,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
keycloak-config-cli,de.adorsys.keycloak.config.service,ImportAuthenticationFlowsIT,shouldChangeRegistrationFlow,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
