Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
keycloak-config-cli,de.adorsys.keycloak.config,AbstractImportIT,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: KEYCLOAK_CONTAINER_LOGS; KEYCLOAK_CONTAINER
keycloak-config-cli,de.adorsys.keycloak.config.properties,ImportConfigProperties,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: REALM_STATE_ATTRIBUTE_COMMON_PREFIX; REALM_CHECKSUM_ATTRIBUTE_PREFIX_KEY; REALM_STATE_ATTRIBUTE_PREFIX_KEY
keycloak-config-cli,de.adorsys.keycloak.config.properties,ImportConfigProperties.ImportManagedProperties,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
keycloak-config-cli,de.adorsys.keycloak.config.properties,ImportConfigProperties.ImportFilesProperties,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
keycloak-config-cli,de.adorsys.keycloak.config.properties,ImportConfigProperties.ImportVarSubstitutionProperties,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
keycloak-config-cli,de.adorsys.keycloak.config.properties,ImportConfigProperties.ImportBehaviorsProperties,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
keycloak-config-cli,de.adorsys.keycloak.config.properties,ImportConfigProperties.ImportCacheProperties,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
keycloak-config-cli,de.adorsys.keycloak.config.properties,ImportConfigProperties.ImportRemoteStateProperties,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
keycloak-config-cli,de.adorsys.keycloak.config.properties,KeycloakConfigProperties.KeycloakAvailabilityCheck,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
keycloak-config-cli,de.adorsys.keycloak.config.properties,ImportConfigPropertiesTest.TestConfiguration,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
keycloak-config-cli,de.adorsys.keycloak.config.properties,KeycloakConfigPropertiesTest.TestConfiguration,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
keycloak-config-cli,de.adorsys.keycloak.config.repository,UserProfileRepository,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: REALM_ATTRIBUTES_USER_PROFILE_ENABLED_STRING
keycloak-config-cli,de.adorsys.keycloak.config.service,AuthenticationFlowsImportService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
keycloak-config-cli,de.adorsys.keycloak.config.service,ClientAuthorizationImportService,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: REALM_MANAGEMENT_CLIENT_ID
keycloak-config-cli,de.adorsys.keycloak.config.service,ClientAuthorizationImportService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
keycloak-config-cli,de.adorsys.keycloak.config.service,ClientImportService,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: REALM_MANAGEMENT_CLIENT_ID
keycloak-config-cli,de.adorsys.keycloak.config.service,RealmImportService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 24
keycloak-config-cli,de.adorsys.keycloak.config.service,RoleImportService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
keycloak-config-cli,de.adorsys.keycloak.config.service,ImportUserProfileIT,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: USER_PROFILE_ENABLED
keycloak-config-cli,de.adorsys.keycloak.config.assets,OtherTestObject.InnerTestObject,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
keycloak-config-cli,de.adorsys.keycloak.config.assets,TestObject.InnerTestObject,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
keycloak-config-cli,de.adorsys.keycloak.config.assets,TestObject.InnerInnerTestObject,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
